LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,Bsmt Qual,SaleCondition,Sale Price
-0.199572056,0.652747231,-0.512407353,1.038850755,0.87575401,-0.482464076,-0.808820428,1.203988248,0.423045379,0.789653355,1.20882038,0.173443434,0.960942594,-0.947674651,0.304040814,-0.749962948,0.222419688,-0.35717257,0.584307967,-0.387721034,0.358488968
-0.072004927,-0.07252747,2.189740799,0.136809578,-0.432225243,0.49032573,0.27635824,-0.789420876,-0.490655138,0.789653355,-0.769249333,0.173443434,-0.297934167,0.608725323,0.304040814,1.637144523,-0.718903227,-0.35717257,0.584307967,-0.387721034,0.008849139
0.111026171,0.652747231,-0.512407353,0.97203289,0.827310334,-0.3291179,-0.637757781,1.23199868,0.578048145,0.789653355,1.20882038,0.173443434,-0.297934167,0.608725323,0.304040814,-0.749962948,-0.070779253,-0.35717257,0.584307967,-0.387721034,0.552733318
-0.077551324,0.652747231,-0.512407353,-1.901135302,-0.722887299,-0.722067477,-0.528170773,0.975236381,0.437321949,-1.039659437,-0.769249333,0.173443434,0.331504213,0.608725323,1.648693062,-0.749962948,-0.178799915,4.059559936,-0.577851525,0.709061813,-0.528560227
0.444919264,1.378021932,-0.512407353,0.938623958,0.730422982,0.209989751,-0.036365662,1.668494589,1.418326299,0.789653355,1.20882038,1.407428343,1.590380974,0.608725323,1.648693062,0.788039181,0.577344721,-0.35717257,0.584307967,-0.387721034,0.895898335
0.428834713,-0.797802171,-0.512407353,0.704761431,0.488204602,-0.626226117,-0.96919166,0.531737864,-0.28670413,-1.039659437,1.20882038,-2.294526383,-0.927372547,-0.947674651,0.304040814,-0.429545838,-0.255957531,-0.35717257,0.584307967,-0.387721034,-0.489711357
-0.018315805,1.378021932,-0.512407353,1.072259688,0.972641362,1.506244148,1.431031109,-0.789420876,0.390413218,0.789653355,-0.769249333,0.173443434,0.331504213,0.608725323,0.304040814,1.292696129,0.160693595,-0.35717257,1.746467458,-0.387721034,1.634026863
0.014740721,0.652747231,0.388308698,0.036582781,-0.577556271,0.118940459,-0.137934109,1.505100399,1.19805921,0.789653355,1.20882038,0.173443434,0.331504213,2.165125297,0.304040814,1.132487574,2.429127504,3.345088501,0.584307967,-0.387721034,0.24841717
-0.458034151,0.652747231,-0.512407353,-1.366592383,-1.69176082,-0.252444812,-0.365126687,0.96589957,0.553574024,0.789653355,-0.769249333,-1.060541474,0.960942594,2.165125297,0.304040814,-0.02902445,-0.718903227,2.971614796,-0.577851525,0.709061813,-0.659351423
-0.313827832,-0.797802171,0.388308698,-1.099320923,-1.69176082,-0.158999485,-0.218119724,-0.789420876,-0.867964503,-1.039659437,-0.769249333,-1.060541474,-0.927372547,2.165125297,-1.040611434,-0.749962948,-0.657177134,-0.35717257,-0.577851525,-0.387721034,-0.81345194
